time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-09 00:00:00+00:00,2,2,3,1
2026-01-10 00:00:00+00:00,2,2,0,0
2026-01-11 00:00:00+00:00,12,4,8,2
2026-01-12 00:00:00+00:00,9,5,12,3
2026-01-13 00:00:00+00:00,2,2,2,1
2026-01-14 00:00:00+00:00,3,3,9,3
2026-01-15 00:00:00+00:00,8,4,0,0
2026-01-16 00:00:00+00:00,4,4,0,0
2026-01-17 00:00:00+00:00,8,4,1,1
2026-01-18 00:00:00+00:00,9,5,0,0
2026-01-19 00:00:00+00:00,7,4,2,1
2026-01-20 00:00:00+00:00,12,5,3,1
2026-01-21 00:00:00+00:00,11,4,3,1
2026-01-22 00:00:00+00:00,14,7,2,2
