time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-31 00:00:00+00:00,19,8,0,0
2026-02-01 00:00:00+00:00,9,6,0,0
2026-02-02 00:00:00+00:00,11,4,0,0
2026-02-03 00:00:00+00:00,11,7,0,0
2026-02-04 00:00:00+00:00,11,4,0,0
2026-02-05 00:00:00+00:00,10,7,0,0
2026-02-06 00:00:00+00:00,6,3,3,2
2026-02-07 00:00:00+00:00,15,8,0,0
2026-02-08 00:00:00+00:00,13,6,0,0
2026-02-09 00:00:00+00:00,25,10,2,2
2026-02-10 00:00:00+00:00,12,5,3,1
2026-02-11 00:00:00+00:00,5,2,0,0
2026-02-12 00:00:00+00:00,17,10,0,0
2026-02-13 00:00:00+00:00,6,3,0,0
