time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-24 00:00:00+00:00,16,8,0,0
2026-05-25 00:00:00+00:00,28,8,0,0
2026-05-26 00:00:00+00:00,11,4,0,0
2026-05-27 00:00:00+00:00,14,5,4,1
2026-05-28 00:00:00+00:00,7,2,0,0
2026-05-29 00:00:00+00:00,13,4,2,2
2026-05-30 00:00:00+00:00,34,14,0,0
2026-05-31 00:00:00+00:00,9,4,0,0
2026-06-01 00:00:00+00:00,4,1,0,0
2026-06-02 00:00:00+00:00,3,3,1,1
2026-06-03 00:00:00+00:00,22,10,0,0
2026-06-04 00:00:00+00:00,6,6,0,0
2026-06-05 00:00:00+00:00,14,6,7,2
2026-06-06 00:00:00+00:00,28,8,0,0
