time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-13 00:00:00+00:00,,,18,2
2024-09-14 00:00:00+00:00,,,2,1
2024-09-15 00:00:00+00:00,1.0,1.0,2,1
2024-09-16 00:00:00+00:00,4.0,2.0,22,2
2024-09-17 00:00:00+00:00,,,12,4
2024-09-18 00:00:00+00:00,2.0,1.0,31,4
2024-09-19 00:00:00+00:00,,,1,1
2024-09-20 00:00:00+00:00,4.0,3.0,3,1
2024-09-23 00:00:00+00:00,2.0,2.0,2,1
2024-09-24 00:00:00+00:00,2.0,1.0,8,3
2024-09-25 00:00:00+00:00,3.0,1.0,3,1
2024-09-26 00:00:00+00:00,3.0,3.0,5,1
